title,start_date,end_date,status,dropped_episode,other
死神坊ちゃんと黒メイド,21/11/1,21/11/10,stop,6
最果てのパラディン,21/11/8,,drop,5
180秒で君の耳を幸せにできるか？,21/11/10,22/1/1,complete,,
見える子ちゃん,21/11/12,,drop,8
鬼滅の刃 無限列車編,21/11/13,21/12/1,complete,,
進撃の巨人1期 2周目,21/11/13,21/12/3,complete,,
プラチナエンド,21/11/20,,drop,13
takt op.Destiny,21/11/22,,stop,1
86 part2,21/11/23,,stop,3
ブルーピリオド,21/11/25,21/12/12,complete,,
這い寄れ！ニャル子さんF,21/11/28,21/11/28,complete,,
古見さんは、コミュ障です。,21/11/28,21/12/23,complete,,
先輩がウザい後輩の話,21/11/30,22/1/2,complete,,
進撃の巨人2期 2周目,21/12/3,21/12/11,complete,,
進撃の巨人3期 2周目,21/12/12,21/12/26,complete,,
王様ランキング,21/12/12,22/3/25,complete,,
無職転生２期,21/12/12,21/12/29,complete,,
進撃の巨人 4期 2周目,21/12/26,22/1/3,complete,,
ワールドトリガー 3rd season,21/12/28,22/1/30,complete,,
ODD TAXI,22/1/3,22/1/7,complete,,
劇場版 呪術廻戦 0,22/1/8,22/1/8,complete,,
進撃の巨人 final season part2,22/1/9,22/4/3,complete,,
ありふれた職業で世界最強,22/1/13,22/2/2,complete,,
劇場版HUNTERxHUNTER〜緋色の幻影〜,22/1/14,22/1/15,complete,,
プリンセスコネクト！ Re:Dive,22/1/16,22/2/22,complete,,
鬼滅の刃 遊郭編,22/1/17,22/2/15,complete,,
未確認で進行形,22/1/17,22/1/27,complete,,
ジョジョの奇妙な冒険 1期「ファントムブラッド・戦闘潮流」,22/1/23,22/2/8,complete,,
その着せ替え人形は恋をする,22/1/30,22/3/30,complete,,
地球外少年少女,22/2/3,22/2/6,complete,,
平家物語,22/2/6,22/3/25,complete,,
ジョジョの奇妙な冒険 2期「スターダストクルセイダース」,22/2/9,22/3/3,complete,,
からかい上手の高木さん3,22/2/22,22/3/30,complete,,
明日ちゃんのセーラー服,22/2/24,22/4/1,complete,,
グッバイ、ドン・グリーズ！,22/2/25,22/2/25,complete,,
CUE!,22/2/28,,drop,10
東京24区,22/3/1,,drop,1
錆喰いビスコ,22/3/2,22/4/5,complete,,
怪人開発部の黒井津さん,22/3/2,,drop,1
オリエント,22/3/3,,drop,1
ジョジョの奇妙な冒険 3期「ダイヤモンドは砕けない」,22/3/4,22/4/3,complete,,
盾の勇者の成り上がり（２周目）,22/3/12,22/3/27,complete,,
手品先輩,22/3/20,22/3/27,complete,,
だがしかし,22/3/29,,stop,3
まちカドまぞく,22/3/28,,stop,1
時光代理人,22/4/1,,drop,1
ひぐらしのなく頃に,22/4/2,22/4/18,complete,,
NEW GAME!!,22/4/2,22/5/12,complete,,
school days,22/4/3,22/4/10,complete,,
ジョジョの奇妙な冒険 4期「黄金の風」,22/4/4,22/4/29,complete,,
古見さんはコミュ症です。2期,22/4/6,22/6/26,complete,,
阿波連さんははかれない,22/4/11,22/6/28,complete,,
かぐや様は告らせたい-ウルトラロマンティック-,22/4/13,22/6/29,complete,,
デート・ア・ライブIV,22/4/16,22/7/3,complete,,
可愛いだけじゃない式守さん,22/4/18,22/7/30,complete,,
ひぐらしのなく頃に 解,22/4/19,22/4/30,complete,,
サマータイムレンダ,22/4/27,22/10/2,complete,,
五等分の花嫁∬　（rewatch）,22/4/29,22/5/15,complete,,
プロメア,22/4/30,22/4/30,complete,,
ジョジョの奇妙な冒険 5期「ストーンオーシャン」,22/4/30,22/5/10,complete,,
カッコウの許嫁,22/4/30,22/10/5,complete,,
